TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-204 b,+19:01:23.34,+41:45:42.91
Kepler-204 c,+19:01:23.34,+41:45:42.91
Kepler-269 b,+19:20:51.65,+41:46:33.49
Kepler-269 c,+19:20:51.65,+41:46:33.49
Kepler-242 b,+19:06:15.77,+41:48:30.24
Kepler-242 c,+19:06:15.77,+41:48:30.24
Kepler-172 b,+18:53:28.43,+41:49:18.70
Kepler-172 c,+18:53:28.43,+41:49:18.70
Kepler-172 d,+18:53:28.43,+41:49:18.70
Kepler-172 e,+18:53:28.43,+41:49:18.70
Kepler-206 b,+19:26:32.32,+41:50:01.90
Kepler-206 c,+19:26:32.32,+41:50:01.90
Kepler-206 d,+19:26:32.32,+41:50:01.90
Kepler-205 b,+19:01:08.90,+41:51:40.21
Kepler-205 c,+19:01:08.90,+41:51:40.21
Kepler-56 b,19:35:02.004,+41:52:18.7
Kepler-56 c,19:35:02.004,+41:52:18.7
Kepler-173 b,+19:38:35.20,+41:53:02.80
Kepler-173 c,+19:38:35.20,+41:53:02.80
Kepler-89 b,19:49:19.934,+41:53:28.0
Kepler-89 c,19:49:19.934,+41:53:28.0
Kepler-89 d,19:49:19.934,+41:53:28.0
Kepler-89 e,19:49:19.934,+41:53:28.0
Kepler-11 b,19:48:27.622,+41:54:32.8
Kepler-11 c,19:48:27.622,+41:54:32.8
Kepler-11 d,19:48:27.622,+41:54:32.8
Kepler-11 e,19:48:27.622,+41:54:32.8
Kepler-11 f,19:48:27.622,+41:54:32.8
Kepler-11 g,19:48:27.622,+41:54:32.8
